t,NEP,t,GPP,t,R
2007.3384,2.0514286,2007.3407,9.166667,2007.3419,7.24181
2007.3419,1.7942857,2007.3436,8.8,2007.3489,7.121685
2007.3466,1.3485714,2007.3447,8.5,2007.3575,7.276131
2007.3512,1.6571429,2007.3563,8.8,2007.3691,6.7098284
2007.3582,1.1085714,2007.3662,7.766667,2007.393,6.521061
2007.3628,0.8857143,2007.3715,8.933333,2007.408,5.4399376
2007.3708,1.3657143,2007.3726,10.1,2007.415,6.6068645
2007.3708,2.1714287,2007.3877,11.266666,2007.4231,7.0187206
2007.3761,3.5085714,2007.3964,10.266666,2007.429,6.795632
2007.3796,3.9885714,2007.3982,8.866667,2007.4393,6.3322935
2007.3889,4.5542855,2007.4075,8.55,2007.4526,6.932917
2007.3959,3.8,2007.4126,10.516666,2007.4574,8.460218
2007.3959,2.96,2007.4202,12.033334,2007.469,9.627145
2007.4056,2.96,2007.4231,12.516666,2007.4777,8.631825
2007.4115,3.7657142,2007.433,11.783334,2007.4834,7.8595943
2007.4178,5.0342855,2007.44,11.8,2007.491,8.786271
2007.422,5.3942857,2007.4498,13.083333,2007.5015,9.352574
2007.4294,5.0342855,2007.4648,14.7,2007.5165,8.683308
2007.4353,5.48,2007.4753,13.683333,2007.5206,8.477379
2007.4434,5.6171427,2007.4794,13.683333,2007.5304,9.541342
2007.4486,6.1485715,2007.4869,12.85,2007.5398,11.549142
2007.4602,5.274286,2007.4916,12.283334,2007.556,8.872075
2007.4695,5.0342855,2007.4998,12.516666,2007.5612,7.653666
2007.473,4.5885715,2007.5067,12.616667,2007.5704,7.99688
2007.477,5.2914286,2007.5061,13.6,2007.578,10.399376
2007.4863,5.0342855,2007.5206,14.133333,2007.5931,12.372855
2007.4916,3.7828572,2007.5264,13.816667,2007.6077,10.039001
2007.5015,2.9771428,2007.5345,13.95,2007.6105,9.129485
2007.5084,4.7085714,2007.5409,14.216666,2007.625,7.379095
2007.5142,5.48,2007.5449,12.1,2007.6407,5.1310453
2007.5206,5.6,2007.5496,11.65,2007.6604,3.4664586
2007.5276,4.622857,2007.5548,10.783334,2007.6761,3.9297972
2007.5356,3.1314285,2007.5624,9.25,2007.6871,4.067083
2007.5369,2.5485713,2007.563,11.333333,2007.7023,5.302652
2007.5409,2.0514286,2007.57,11.866667,2007.7092,5.302652
2007.5449,1.1771429,2007.5775,13.933333,2007.7208,6.6411858
2007.5461,2,2007.5873,13.65,2007.7272,7.825273
2007.5565,1.3828571,2007.5942,13.633333,2007.7428,7.9625583
2007.5618,3.44,2007.5955,12.516666,2007.7567,10.5538225
2007.5664,3.662857,2007.6053,12.516666,2007.7719,5.9375973
2007.5676,4.52,2007.6128,11.266666,2007.7847,7.6365056
2007.5751,3.9885714,2007.614,10.466666,2007.7887,8.082684
2007.5826,3.337143,2007.6227,10.466666,2007.7986,7.7566304
2007.5845,2.1885715,2007.6292,8.45,2007.8102,6.0405617
2007.5873,1.3485714,2007.6343,8.2,2007.8188,5.045242
2007.5972,1.0228572,2007.6407,7.6666665,2007.8304,4.8907957
2007.6053,2.2742858,2007.6517,8.75,2007.8403,3.7410297
2007.6105,2.5485713,2007.6587,8.133333,2007.8519,2.1965678
2007.614,1.8628571,2007.6686,7.4333334,2007.8629,2.7971919
2007.6199,2.3257143,2007.6755,7.266667,2007.8763,5.7145085
2007.6302,1.5542858,2007.6825,7.266667,2007.8873,7.9110765
2007.6332,2.4628572,2007.7023,7.883333,2007.9006,9.180967
2007.6395,2.4457142,2007.7167,7.516667,2007.9082,9.180967
2007.6523,4.897143,2007.7306,7.6666665,2007.9169,6.9843993
2007.6633,4.1257143,2007.7375,6.9333334,2007.9261,4.152886
2007.6732,3.5257144,2007.7451,5.9166665,2007.932,3.6037443
2007.6877,3.0114286,2007.7544,7.0833335,2007.9645,1.475819
2007.6947,2.6685715,2007.7649,6.4666667,2007.9761,2.848674
2007.7034,2.6685715,2007.7706,5.3166666,2007.986,4.7020283
2007.7162,1.7257143,2007.7765,4.65,2007.9993,3.5179408
2007.7219,0.56,2007.7847,4.5666666,2008.0127,2.74571
2007.7272,-0.24571429,2007.7927,4.8333335,2008.0336,4.0842433
2007.7352,-0.21142857,2007.802,4.4166665,2008.0405,4.4274573
2007.7365,-0.9142857,2007.8195,2.05,2008.0486,5.096724
2007.744,-2.0457144,2007.8368,2.5833333,2008.055,5.045242
2007.7446,-3.0742857,2007.8577,1.25,2008.0667,3.7238688
2007.7539,-3.6742857,2007.896,1.7833333,2008.0736,3.0031202
2007.7632,-2.577143,2007.9146,1.3666667,2008.0863,2.6599064
2007.7689,-1.48,2007.9261,0.75,2008.102,2.5397816
2007.7742,-1.1542857,2007.9366,0.56666666,2008.1119,2.2823713
2007.78,-2.2342858,2007.9523,1,2008.1322,2.6599064
2007.7875,-3.2971427,2007.9645,0.5,2008.1415,4.1357255
2007.7927,-3.4342856,2007.9849,1.2833333,2008.1497,4.032761
2007.8014,-2.8,2008.0085,0.68333334,2008.1589,2.9859595
2007.8026,-2.2514286,2008.0463,0.7,2008.1752,1.8018721
2007.8142,-2.6285715,2008.0654,1.3,2008.185,1.8018721
2007.8176,-3.1085715,2008.1014,1.3333334,2008.1897,2.7628706
2007.8298,-2.32,2008.113,0.9166667,2008.2001,3.0546021
2007.8345,-1.84,2008.1333,1.5333333,2008.2344,2.024961
2007.8553,-0.94857144,2008.1455,2.5166667,2008.2506,2.522621
2007.8688,-1.7371428,2008.1543,1.9333333,2008.2604,3.2262092
2007.874,-3.2457142,2008.1664,1.4333333,2008.2761,3.2605305
2007.8798,-5.234286,2008.1868,1.9166666,2008.2894,3.1575663
2007.8867,-6.365714,2008.207,1.7,2008.3075,3.7238688
2007.8954,-6.897143,2008.2297,1.6333333,2008.3237,4.8564744
2007.9019,-7.3428574,2008.2437,1.85,2008.3353,6.074883
2007.9071,-7.857143,2008.2715,3.45,2008.3423,7.6193447
2007.9175,-5.765714,2008.2819,3.45,2008.3492,8.408736
2007.9257,-3.3314285,2008.2848,3.6666667,2008.3556,8.872075
2007.939,-2.2514286,2008.2993,3.0666666,2008.3632,8.854915
2007.9489,-1.4114286,2008.3069,3.2333333,2008.3707,7.7909517
2007.9645,-0.98285717,2008.3156,4.483333,2008.3754,6.778471
2007.9744,-1.8057142,2008.3214,4.7,2008.3823,6.349454
2007.9843,-3.2971427,2008.3335,5.85,2008.3945,7.1731668
2007.9999,-2.4571428,2008.3428,7.35,2008.3992,7.979719
2008.008,-2.2171428,2008.3469,9.333333,2008.4084,8.666146
2008.0144,-1.8571428,2008.3596,12.25,2008.4171,8.563183
2008.0231,-2.337143,2008.3695,11.233334,2008.4247,7.808112
2008.0306,-2.92,2008.3754,11.233334,2008.4247,6.967239
2008.0306,-3.4,2008.3771,10.45,2008.4247,6.383775
2008.0411,-3.7428572,2008.3881,12.316667,2008.4432,6.400936
2008.0532,-4.4457145,2008.398,10.183333,2008.4432,7.2932916
2008.0597,-4.0342855,2008.3997,9.266666,2008.4485,8.254291
2008.066,-2.3885715,2008.4089,9.783334,2008.4572,8.666146
2008.0719,-1.6857142,2008.4136,11.45,2008.4612,8.872075
2008.0852,-1.2914286,2008.4205,10.933333,2008.4711,8.322933
2008.0997,-1.1028571,2008.4205,11.816667,2008.4932,9.609984
2008.116,-1.4285715,2008.4293,12.483334,2008.4995,9.00936
2008.1328,-1.36,2008.4357,14.316667,2008.5042,8.185647
2008.1403,-1.72,2008.4456,13.816667,2008.5059,7.121685
2008.1577,-1.1542857,2008.4473,14.616667,2008.5105,6.2636504
2008.1676,-0.60571426,2008.4583,14.266666,2008.5146,6.057722
2008.1803,0.045714285,2008.4612,14.7,2008.525,6.847114
2008.1897,-0.88,2008.4688,13.066667,2008.5297,7.9625583
2008.2018,-1.2057143,2008.4728,13.616667,2008.5372,8.666146
2008.2106,-0.8971428,2008.4827,12.95,2008.543,8.563183
2008.218,-0.8971428,2008.4862,14.066667,2008.5448,7.5678625
2008.2222,-0.72571427,2008.4978,14.133333,2008.5488,6.5897036
2008.2291,-0.6571429,2008.5042,13.85,2008.5505,5.7316694
2008.2355,-0.17714286,2008.5076,11.366667,2008.5598,5.645866
2008.2454,-0.26285714,2008.517,10.333333,2008.568,6.5897036
2008.261,-0.4857143,2008.5239,10.5,2008.5726,7.9625583
2008.2726,0.25142857,2008.5343,14.166667,2008.5726,8.73479
2008.2814,0.2857143,2008.5402,13.116667,2008.579,9.404057
2008.2877,0.54285717,2008.5459,12.85,2008.5883,10.056162
2008.2981,-0.14285715,2008.5558,11.05,2008.6028,9.24961
2008.301,-0.14285715,2008.5581,12.2,2008.6086,8.374415
2008.308,-0.33142856,2008.5668,12.2,2008.6115,7.276131
2008.3185,0.06285714,2008.5691,13.2,2008.619,6.3151326
2008.3225,-0.16,2008.5848,12.85,2008.6277,5.6630263
2008.3295,0.21714285,2008.5918,11.583333,2008.6353,5.697348
2008.34,-0.19428572,2008.5975,10.466666,2008.6434,6.1606865
2008.3451,0.6457143,2008.6074,9.9,2008.6481,6.7269893
2008.3596,3.3714285,2008.6156,9.616667,2008.6533,6.8642745
2008.3666,3.3714285,2008.6196,10.483334,2008.6608,6.5725427
2008.3754,4.297143,2008.6283,9.233334,2008.6608,5.920437
2008.3851,4.4857144,2008.6353,9.016666,2008.666,5.096724
2008.3876,5.6171427,2008.6445,9.333333,2008.6707,4.478939
2008.395,2.9257143,2008.6567,8.916667,2008.6771,4.8564744
2008.3986,2.2742858,2008.662,7.7833333,2008.6846,5.1653666
2008.4009,1.52,2008.669,7.633333,2008.6962,5.045242
2008.4072,1.0742857,2008.6736,6,2008.706,4.873635
2008.4136,2.2742858,2008.6818,6.5666666,2008.7136,4.2558503
2008.4194,2.6685715,2008.6915,6.6,2008.72,3.5351014
2008.4229,4.3142858,2008.7014,7.266667,2008.7258,2.9344773
2008.4275,6.114286,2008.7183,6.733333,2008.7427,2.9344773
2008.4323,7.8114285,2008.7246,5.766667,2008.7501,2.900156
2008.4467,6.5257144,2008.7391,5.5666666,2008.7653,3.99844
2008.4525,6.4742856,2008.753,4.6833334,2008.7711,4.9937596
2008.4583,5.5657144,2008.7589,3.95,2008.7739,5.903276
2008.4647,5.7885714,2008.7711,3.6666667,2008.7838,6.195008
2008.4664,4.9657145,2008.7739,4.266667,2008.7914,5.25117
2008.4769,5.1714287,2008.7897,4,2008.7972,4.478939
2008.4792,4.0742855,2008.799,3.05,2008.8047,4.221529
2008.4867,4.8628573,2008.8123,2.7666667,2008.8116,4.221529
2008.4926,4.5371428,2008.8198,2.3166666,2008.8251,3.7067082
2008.5012,5.154286,2008.8291,2.0833333,2008.8373,4.976599
2008.5012,5.5657144,2008.839,2.0833333,2008.8436,5.1653666
2008.51,4.76,2008.8656,1.2,2008.8517,4.1185646
2008.5175,4.1257143,2008.879,0.8333333,2008.8575,2.9859595
2008.5267,4.76,2008.8959,0.8,2008.8639,2.2823713
2008.5355,5.1714287,2008.9092,1.3833333,2008.8784,2.4368174
2008.5419,4.297143,2008.9271,0.8666667,2008.8883,2.5912635
2008.5471,5.3428574,2008.9452,0.8666667,2008.9069,3.1918876
2008.5547,5.4628572,2008.9579,1.0833334,2008.9197,2.453978
2008.5564,6.4228573,2008.9695,1.4,2008.9313,2.6084244
2008.5691,5.2914286,2008.9829,0.8666667,2008.9463,4.1185646
2008.5737,5.274286,2008.9991,1.1166667,2008.9614,3.9297972
2008.5784,3.8514285,2009.0131,0.75,2008.9741,3.2433698
2008.5859,2.8228571,2009.027,1.6166667,2008.9834,2.1107645
2008.5876,1.4514285,2009.0403,2.7166667,2008.991,1.75039
2008.5958,1.7771429,2009.0502,3,2009.0131,3.1575663
2008.5988,1.04,2009.0664,2.55,2009.0234,4.4274573
2008.6068,1.5371429,2009.0751,1.75,2009.0304,6.658346
2008.6068,1.9485714,2009.0862,1,2009.0386,7.979719
2008.6156,2.377143,2009.1001,1.1166667,2009.0468,7.773791
2008.6196,4.0057144,2009.1157,0.81666666,2009.0548,7.773791
2008.6329,3.4742856,2009.1372,0.31666666,2009.0653,7.2074885
2008.6371,3.1142857,2009.1581,0.23333333,2009.0687,6.5725427
2008.6458,3.1142857,2009.1895,1.1833333,2009.0775,3.8096724
2008.6561,2.102857,2009.1924,1.3166667,2009.085,2.677067
2008.662,1.7942857,2009.2097,0.85,2009.1024,3.4836195
2008.669,2.5657144,2009.2144,1.0666667,2009.1123,2.6599064
2008.6748,1.6057143,2009.2324,0.85,2009.1268,1.5616225
2008.6812,1.6228571,2009.2411,1.8,2009.1454,1.2527301
2008.6858,1.5714285,2009.2411,1.9,2009.164,1.7160686
2008.6997,2.102857,2009.2567,3.2,2009.1766,2.8315132
2008.7067,2.12,2009.2725,2.7166667,2009.1912,3.2433698
2008.7125,2.6857142,2009.2887,3.9666667,2009.2023,2.5569422
2008.7195,2.7542858,2009.2916,4.633333,2009.2231,3.2605305
2008.7334,2.7028573,2009.298,4.9166665,2009.2278,3.0889235
2008.745,2.617143,2009.3066,5.4333334,2009.2388,2.900156
2008.7572,0.18285714,2009.3136,4.633333,2009.2556,3.3120124
2008.7711,-1.3257142,2009.3212,3.95,2009.2736,3.620905
2008.7827,-1.7371428,2009.3322,2.8333333,2009.2794,4.942278
2008.7827,-2.097143,,,2009.2904,5.2854915
2008.7902,-1.4628571,,,2009.302,4.375975
2008.7954,-1.4628571,,,2009.3148,4.1872077
2008.8007,-1.1371429,,,2009.3252,4.0842433
2008.8116,-1.4114286,,,2009.334,3.0889235
2008.8116,-1.7714286,,,2009.334,3.0889235
2008.8228,-1.5485715,,,,
2008.8297,-1.9257143,,,,
2008.836,-2.92,,,,
2008.8453,-3.2457142,,,,
2008.8563,-2.2685714,,,,
2008.8593,-1.2228571,,,,
2008.8633,-1.0342857,,,,
2008.8807,-1.2228571,,,,
2008.886,-1.6514286,,,,
2008.8976,-1.6514286,,,,
2008.8987,-1.84,,,,
2008.9069,-1.84,,,,
2008.9185,-1.3771429,,,,
2008.9266,-1.5142857,,,,
2008.9353,-2.1314285,,,,
2008.9452,-3.0742857,,,,
2008.9526,-3.2114286,,,,
2008.9637,-2.4057143,,,,
2008.9764,-2.0457144,,,,
2008.9904,-0.76,,,,
2009.0021,-1.2228571,,,,
2009.0114,-2.097143,,,,
2009.0206,-2.577143,,,,
2009.0264,-4.017143,,,,
2009.0345,-4.8228574,,,,
2009.0403,-5.4914284,,,,
2009.0472,-4.8228574,,,,
2009.0525,-4.805714,,,,
2009.0687,-4.0342855,,,,
2009.0746,-3.0228572,,,,
2009.0792,-1.8057142,,,,
2009.0902,-1.4457142,,,,
2009.0984,-2.0114286,,,,
2009.107,-2.2685714,,,,
2009.1151,-1.6514286,,,,
2009.1163,-1.12,,,,
2009.1315,-0.7771429,,,,
2009.1482,-0.93142855,,,,
2009.1674,-1.1542857,,,,
2009.1796,-1.8057142,,,,
2009.1871,-1.9257143,,,,
2009.201,-1.6,,,,
2009.2162,-2.0457144,,,,
2009.2295,-2.2171428,,,,
2009.2375,-1.1885715,,,,
2009.2487,-0.50285715,,,,
2009.259,0.14857143,,,,
2009.2683,-0.70857143,,,,
2009.2834,-1.6685715,,,,
2009.2864,-1.0514286,,,,
2009.2921,-0.28,,,,
2009.2991,0.6457143,,,,
2009.3066,1.2971429,,,,
2009.313,0.8685714,,,,
2009.3176,0.13142857,,,,
2009.3281,-0.28,,,,
